,homepage_url,funding_total_usd,country_code,region,funding_rounds,founded_at,founded_quarter,first_funding_at,last_funding_at,label,industry
0,1,1750000.0,USA,New York City,1,2012-06-01,2,2012-06-30,2012-06-30,3,Social Media
2,1,40000.0,EST,Tallinn,1,2012-10-26,4,2012-08-09,2012-08-09,1,Education
3,1,1500000.0,GBR,London,1,2011-04-01,2,2011-04-01,2011-04-01,4,Music
4,0,60000.0,USA,Dallas,2,2014-01-01,1,2014-08-17,2014-09-26,1,Games
10,1,40000.0,CHL,Santiago,1,2012-01-01,1,2013-02-18,2013-02-18,1,ECommerce
15,1,4400000.0,GBR,London,2,2013-01-01,1,2013-01-01,2014-10-09,5,Education
16,1,2050000.0,USA,Baltimore,4,2001-01-01,1,2009-06-18,2011-12-28,4,ECommerce
17,1,40000.0,USA,Portland Oregon,1,2008-01-01,1,2011-08-23,2011-08-23,1,Search
20,1,2535000.0,USA,SF Bay Area,2,2010-07-01,3,2010-01-01,2011-02-16,3,Curated Web
21,1,4962651.0,USA,Seattle,6,2008-01-01,1,2009-10-14,2014-09-19,5,Curated Web
22,1,4059079.0,FRA,Paris,4,2010-11-20,4,2012-12-15,2013-11-13,5,0_other_cat
23,1,10000000.0,CHN,Beijing,3,2009-01-01,1,2011-01-01,2014-07-31,5,Games
26,1,420000.0,USA,Madison,1,2014-07-04,3,2014-11-26,2014-11-26,2,0_other_cat
27,1,1250000.0,USA,SF Bay Area,2,2011-09-16,3,2011-11-02,2011-11-30,3,Analytics
28,1,35000000.0,USA,New York City,1,2000-01-01,1,2010-03-08,2010-03-08,5,Software
30,1,50000.0,USA,Cleveland,1,2009-04-01,2,2009-04-01,2009-04-01,1,Curated Web
32,1,100000.0,AUS,Sydney,1,2009-07-01,3,2010-07-01,2010-07-01,2,Software
34,1,3000000.0,USA,SF Bay Area,1,2012-01-01,1,2012-11-07,2012-11-07,4,Biotechnology
35,1,77500.0,USA,Boston,1,2010-01-01,1,2011-10-12,2011-10-12,1,Software
37,1,20000000.0,CHN,Shanghai,1,2011-10-01,4,2014-04-28,2014-04-28,5,0_other_cat
43,1,270000.0,AUS,Melbourne,2,2012-02-01,1,2012-05-01,2012-11-13,2,Music
44,1,794000.0,USA,Providence,6,2011-10-07,4,2012-02-06,2014-01-01,3,Software
47,1,378812.0,GBR,London,1,2013-01-01,1,2014-03-18,2014-03-18,2,Software
48,1,130636.0,FRA,Paris,1,2008-01-01,1,2012-03-15,2012-03-15,2,Unknown
49,1,619494.0,NLD,NLD  Other,1,2010-12-10,4,2012-06-01,2012-06-01,3,Software
53,1,700000.0,SWE,Stockholm,1,2010-01-01,1,2012-06-15,2012-06-15,3,Mobile
54,1,5500000.0,USA,SF Bay Area,2,2010-01-11,1,2009-07-01,2011-04-28,5,Advertising
55,1,500000.0,USA,Los Angeles,1,2010-01-01,1,2010-05-05,2010-05-05,3,Video
57,1,3400000.0,USA,SF Bay Area,3,2011-05-01,2,2012-01-01,2014-10-02,4,Software
59,0,199957.0,USA,Seattle,1,2006-01-01,1,2009-06-11,2009-06-11,2,Software
60,1,50000.0,USA,Orlando,1,2009-05-15,2,2009-06-01,2009-06-01,1,Games
65,1,9478511.0,CHN,Beijing,3,2005-01-01,1,2006-01-01,2013-07-01,5,Finance
68,1,40000.0,DNK,Copenhagen,1,2009-01-19,1,2008-04-04,2008-04-04,1,Mobile
74,1,50000.0,USA,Orange County California,1,2008-06-30,2,2008-06-30,2008-06-30,1,ECommerce
76,1,1450000.0,USA,Seattle,1,2010-01-01,1,2013-04-22,2013-04-22,4,Software
80,1,30000000.0,USA,SF Bay Area,1,2002-01-01,1,2013-03-21,2013-03-21,5,Health and Wellness
81,1,500000.0,USA,Manchester New Hampshire,1,2011-01-01,1,2013-08-05,2013-08-05,3,Social Media
86,1,156000.0,DEU,Berlin,2,2013-01-25,1,2013-08-05,2013-09-02,2,Mobile
87,1,30000.0,USA,Houston,1,2011-10-01,4,2011-12-20,2011-12-20,1,0_other_cat
91,1,750000.0,USA,Albany New York,1,2009-08-01,3,2012-10-01,2012-10-01,3,ECommerce
93,1,1500000.0,USA,SF Bay Area,2,2011-12-01,4,2013-07-02,2013-12-01,4,Mobile
94,1,1660000.0,FRA,Paris,1,2000-10-01,4,2008-06-19,2008-06-19,4,Games
96,1,204189.0,BEL,BEL  Other,1,2010-01-01,1,2014-06-25,2014-06-25,2,Unknown
97,1,150000.0,USA,Washington DC,1,2000-05-01,2,2012-09-25,2012-09-25,2,Biotechnology
98,0,41000000.0,USA,Atlanta,5,2008-01-01,1,2010-08-05,2013-07-19,5,0_other_cat
99,1,29750000.0,IRL,IRL  Other,1,2006-09-01,3,2008-07-04,2008-07-04,5,Mobile
100,1,1236454.0,ITA,Roncade,3,2012-01-01,1,2012-11-15,2014-06-01,3,Curated Web
101,1,2800000.0,USA,New York City,2,2007-09-01,3,2009-10-01,2010-08-01,4,ECommerce
102,1,1464128.0,CHN,Beijing,1,2004-01-01,1,2010-01-22,2010-01-22,4,0_other_cat
103,1,6369507.0,IND,New Delhi,1,2012-06-01,2,2012-11-15,2012-11-15,5,ECommerce
104,0,5050000.0,USA,SF Bay Area,1,2013-01-01,1,2013-11-17,2013-11-17,5,Mobile
109,1,250000.0,ISR,Tel Aviv,1,2010-01-01,1,2013-10-15,2013-10-15,2,Apps
110,1,1610541.0,CHN,Shanghai,2,2005-09-01,3,2010-05-01,2010-10-01,4,Software
111,1,615000.0,SGP,Singapore,1,2009-02-01,1,2011-01-11,2011-01-11,3,Mobile
113,1,50000.0,CAN,Toronto,1,2011-06-01,2,2011-08-15,2011-08-15,1,Software
119,0,500000.0,USA,Los Angeles,1,2007-01-01,1,2009-07-23,2009-07-23,3,Unknown
120,1,400000.0,USA,Chicago,1,2007-08-01,3,2014-05-01,2014-05-01,2,0_other_cat
122,1,16000000.0,USA,Salisbury,1,2010-01-01,1,2010-08-16,2010-08-16,5,Clean Technology
123,1,50000.0,USA,Rochester New York,1,2010-01-01,1,2011-05-24,2011-05-24,1,Software
126,1,4000000.0,IND,Bangalore,1,2001-01-01,1,2007-11-06,2007-11-06,5,Education
127,1,200000.0,USA,Indianapolis,1,2012-01-01,1,2012-09-01,2012-09-01,2,Software
129,1,2000000.0,CHN,Beijing,1,2004-01-01,1,2004-12-01,2004-12-01,4,Software
131,1,118000.0,USA,Denver,1,2012-07-25,3,2012-05-17,2012-05-17,1,ECommerce
133,1,5844811.0,USA,SF Bay Area,1,2008-01-01,1,2013-10-28,2013-10-28,5,Software
136,1,1000000.0,ISR,Tel Aviv,1,2009-01-01,1,2013-11-01,2013-11-01,3,Unknown
